"Penk","Calb1","Lamp5","Rorb","Ccdc80","Pamr1","Dkkl1","Slco2a1","Fam84b","Npnt","Myl4","Syt6","Ctgf","Slc32a1","Pvalb","Sst","Vip","my_supertype","allen_subclass","allen_class","allen_NT"
2.00719604431663,4.05055190045373,1.27488312109398,1.42633549962849,0.772320049428483,0,1.12233445566779,0,0,0,1.25364004827569,1.33165466767734,0,0,0.643666323377961,0.692472820441798,1.14622939504345,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.46156008405642,5.60127714401088,1.68198294197006,0,2.2821679645358,0,1.69942341870498,0,0,0,0.646161798914448,0,0,0,0.92790201354737,2.72453747783448,2.37682288710706,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
5.21991677619913,3.0397400735004,1.66563078708743,0,2.85123744474344,0,0.782472613458529,0,0,0,0,0,0,0,0,0,0.871839581517001,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.892217846748168,0.630119722747322,0.498579049708331,0,2.70966008918868,0,1.00458698863319,0,0,0,2.06721219744435,1.33723302060978,0,0,0.630119722747322,0.387867504460476,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
7.80612828066194,0.781005935645111,1.55452078713026,0,3.24380013893614,0,0.514933058702369,0,0,0,0,1.79604683862471,0,0,0.735726898175397,0,0.279314004804201,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
5.22478642474919,4.99756608152484,0,0,2.51648091872131,0,2.07700398872365,0,0,0,0,0.855505175806314,0.378859632506156,0,0,0,2.08997571094635,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
1.71899535642063,0,1.21006776379477,1.15861429730043,0.498280930788779,0,4.27768288465987,0,0,0,0.661769571835087,0,0,0,0,2.33252089774639,1.21006776379477,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
5.20657596450412,4.3623866854011,1.70483276484422,0,5.22833021396827,0,1.48257968865827,0,0,0,0,0.688420762770205,0.378859632506156,0,0,0.935453695042095,0.374181478016838,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.648340248962656,5.21520554704429,1.3104852644154,0,6.47952533539294,0,0.536970412930248,0,0,0,0,0,0.547585149490746,0.536970412930248,0,1.17896722471115,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
18.0828526091104,3.53336615321622,0.511744537127066,0.511744537127066,4.33296596289324,0,1.5384221329565,0,0,0,0,0,0,0,0,0,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0.699056274030059,0.812677773262901,0,3.64018974321633,1.30412102243088,1.24198425126648,0,0,0,1.99288438048733,0,0,0,0,1.5895854931563,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.846381718154888,5.19565495112062,0.365416940729372,0,1.59439173983526,0,0.613948919449902,0,0,0,0,0,0,0.613948919449902,0,3.00808585381294,0.846381718154888,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
2.6995627952832,3.33019486509069,0,0,3.53359257977932,0.597300203082069,0.820839937396268,0,0,0,0,0.889363215937389,0.486570650058388,0,0,1.48666341901946,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
9.83935592545321,1.91959970450543,1.70483276484422,0,2.23297694064673,0,0,0,0,0,0.541125541125541,1.16871434494128,0,0,0,0,2.19371136791876,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.508052634252909,1.82203480166905,1.37034460631465,3.05192881933391,0.86229197206174,0.508052634252909,2.54332023995819,0,0,0,0.50357538523517,0.49478007025877,0,0,0,0,1.53496787681083,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
12.8913857884126,3.32294465131266,1.2992074834351,0,2.78700152796498,0,0,0,0,0,0,0,0,0,0,1.54480328541288,0.846381718154888,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.90546932053353,3.30575669791031,0.498579049708331,0,4.30113508124761,0.597300203082069,1.96915033871665,0,0,0,0.910166560480568,0.666400106624017,0.486570650058388,1.34462821029985,0,0.597300203082069,0.666400106624017,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
2.09537406984378,1.93988137198975,0.498579049708331,0,1.38868125088156,0,1.48257968865827,0,0,0,1.43709247469703,2.1927381964161,0,0,0,0,0.855505175806314,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.97092490920077,3.62527184531053,1.83737152237591,0,6.01946169059203,0,0.792330243245385,0,0,0,0.543389664728577,0.7097232079489,0,0,0.613308800981294,0,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,1.64712366105199,0.469571750563486,0,2.82222457388159,0,0,0,1.12163226177893,0,0,0,0,0.85999312005504,0,0,0.533589456272344,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.393638797039836,4.35689388268024,0,0,2.70966008918868,0,0.846352817593053,0,0,0,1.54028628322789,0,0,0,0.630119722747322,0.387867504460476,0.452714020553216,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0.699056274030059,0.792330243245385,0,2.82751196995343,1.30412102243088,1.37254492267677,0,0.989119683481701,0,0,0,0,1.22699386503067,0,2.15480978635188,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,3.44609765586881,0.541711809317443,0,2.75366470978779,0,0,0,0,0,0.645244547683572,0,0,0,0,0.633552965027876,0.603391057744524,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0,2.05086128485383,0,6.86610477579036,0,1.70944080805277,0,0,0,0,0,0,0.536970412930248,0,3.05265071849436,0.726321905868681,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.508052634252909,5.29588102103524,1.66686832461736,8.29750794905749,4.08318536286928,2.37340547273321,0,0,0,0,0,0,0,0,0,0.424232139826913,0.455933980759586,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0.952970219170568,0,0,0.96424486369559,0,5.8224599992913,0,0,0.40453074433657,3.51094092720599,1.00309095319477,0,0,0,0,0.455933980759586,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0.49478007025877,1.01592611360541,0.65556575324505,0.96424486369559,0,3.67767377324001,0,0,0,0.508310882936004,1.00309095319477,0,0,0,0,1.17665470148031,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.27721146867744,0.707563857638152,1.70673741178543,0,4.11591513703669,0,3.45217313575098,0,0,0.825968448005286,1.9466614755694,0,0,0,0.772857253265322,0,3.47383214101953,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,2.96781665170995,2.51481368762267,0,2.20443391926732,0,0,0,0,0.697788012001954,1.66777851901268,0.797766254487435,0,0,0,1.52350131480159,0.697788012001954,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.39032006245121,3.37124919872795,0,0,1.54283618666196,0,0.613948919449902,0,0,0,0,0,0,0.613948919449902,0,0.905633037493208,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.62278647053978,1.10071546505228,1.95663193423004,0,1.97255504656928,0,10.2399986398694,0,0,0,0.903587241348152,0,0,0,0,1.0901558922926,3.77042902875887,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,2.51360610956015,0,0,2.59109127669109,0,4.11021743100254,0,0,0,0.661769571835087,0,0,1.47394203950494,0.704771301712594,1.48157609749503,1.72847534467,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,3.70815560936576,0.541711809317443,0,3.21370477034094,0,0,0,0,0,0.645244547683572,0,0.50666261336576,0,0,0,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
1.23655249165327,1.02585145670907,0.708616780045351,0,3.04080201743519,0,0,0,0,0,1.23655249165327,1.5995612574239,0,0,0,0,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
9.16109931334597,0.947642738687515,0,0,2.11336277608455,0,0.486570650058388,0,0,0,0,0.666400106624017,0.486570650058388,0,0,0.846381718154888,2.24597340773953,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,0,1.58340689857329,0,5.13093920698362,0,0.792330243245385,0,0,0,0,0.889838049474995,0,0,0,0,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
2.28732690352444,1.53376917321981,0,0,0.863557858376511,0,2.42553382897317,0,0,0,2.18003772610935,0.7097232079489,0,0,0,0.913075237399562,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
1.69192305109104,0.819202097157369,2.47241743938302,0,3.60690276887175,0,0.792330243245385,0,0,0,0.543389664728577,0.7097232079489,0,0,0,0,0.86229197206174,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
1.9703516033827,5.14184676378276,0,0,2.74251190279759,0,0.452714020553216,0,0,0,1.76714962068325,0,0,0,0,1.12164355464131,0.452714020553216,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
3.73159024674411,2.36048157612947,0,0,2.50442589576225,0,0.594424300065387,0,0,0,1.85365179493665,0.855505175806314,1.21539970277552,0,0,0.836540070269366,0.855505175806314,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,3.83832510069849,0,0,4.23703733518073,0,0.450633139561083,0,0,0,0.645244547683572,0,0.50666261336576,0,0,0.628535512256442,0.603391057744524,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
4.52174680782097,2.8192063832402,0,0,0,0,1.57669432609554,0,0,0,0,0.855505175806314,0,0,0,1.43560044558025,0.855505175806314,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0,2.96639992106934,0,0.631074088097943,4.24879100655384,3.28666031908134,1.63961305131989,0,0,0,0,0,0,0,0,1.24403866548686,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
0.930665425779432,0.512715340442986,0.485578323783626,0,2.47350161244139,0,0.930665425779432,0,0,0,0,0,0,0,0,0.905633037493208,0,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
7.82593094851611,1.06224771616741,2.63221333734644,0,4.36859780946148,0,2.67465943916192,0,0,0,0,0,0,0,0,0.842318059299191,1.67653902627438,"0013 L6 IT CTX Glut_1","004 L6 IT CTX Glut","01 IT-ET Glut","Glut"
