CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen
1,1693.78271604938,705.86049382716,4.88271604938272,150.460494995117,144.550003051758,1.04088890552521,0,0
2,1582.6095890411,884.203767123288,4.76369863013699,140.491439819336,144.717742919922,0.970796227455139,0,0
3,1580.59069767442,903.896511627907,4.56279069767442,137.941864013672,139.025024414062,0.992208898067474,0,0
4,1546.53597650514,967.461086637298,3.93685756240822,132.613800048828,138.192016601562,0.959634304046631,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,146.785720825195,143.952377319336,1.01968252658844,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,148.450485229492,140.363433837891,1.05761504173279,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,145.880111694336,142.733169555664,1.02204775810242,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,143.141693115234,143.627456665039,0.996617913246155,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,134.720642089844,141.274337768555,0.953610122203827,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,128.443817138672,137.634506225586,0.933223962783813,0,0
11,1204.44957983193,1362.03921568627,4.68767507002801,138.252105712891,134.755767822266,1.02594578266144,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,144.690353393555,142.870971679688,1.01273441314697,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,143.01692199707,138.809860229492,1.03030812740326,0,0
14,1572.01515151515,728.424242424242,4,150.454544067383,149.5,1.00638496875763,0,0
15,1525.05479452055,747.767123287671,4,161.424652099609,152.828567504883,1.05624663829803,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,148.810791015625,141.321411132812,1.05299532413483,0,0
17,1272.46478873239,800.647887323944,4,143.732391357422,144.793106079102,0.992674291133881,0,0
18,1621.95272727273,824.701818181818,4.48,149.090911865234,143.951721191406,1.03570079803467,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,147.287933349609,146.947372436523,1.00231754779816,0,0
20,1280.891966759,867.565096952909,5.00831024930748,138.753463745117,134.995147705078,1.02784037590027,0,0
21,1293.27751196172,993.66985645933,6.52392344497608,138.033493041992,137.752014160156,1.00204336643219,0,0
22,1718.244,1051.864,6.071,150.72200012207,144.068420410156,1.04618346691132,0,0
23,1241.83333333333,1086.60416666667,4.47916666666667,151.33332824707,147.441177368164,1.0263979434967,0,0
24,1637.08455882353,1108.87867647059,4.54411764705882,153.922790527344,142.449996948242,1.08053910732269,0,0
25,1595.31304347826,1109.70434782609,4,156.817398071289,147.658538818359,1.06202733516693,0,0
26,1251.64680483592,1135.48100172712,6.04490500863558,146.360961914062,144.019882202148,1.01625525951385,0,0
27,1630.74528301887,1167.66037735849,4,147.849060058594,138.131576538086,1.07034945487976,0,0
28,1730.23544303797,1172.07594936709,5.08607594936709,151.825317382812,144.582672119141,1.05009341239929,0,0
29,1267.35480673935,1208.51040634291,7.13478691774034,139.952423095703,142.146438598633,0.984565079212189,0,0
30,1677.24550128535,1225.47172236504,5.40616966580977,154.001281738281,148.00178527832,1.04053664207458,0,0
31,1192.7619047619,1309.61904761905,6.45304232804233,137.44775390625,140.850219726562,0.975843369960785,0,0
32,1664.81395348837,1423.09302325581,4,144.472869873047,137.794876098633,1.04846334457397,0,0
33,1371.85401459854,1456.93430656934,4.39416058394161,151.554748535156,140.375,1.07964205741882,0,0
34,1492.11707317073,1513.3674796748,5.99024390243902,144.892684936523,139.279998779297,1.04029786586761,0,0
35,1378.93892045455,1554.29119318182,6.17897727272727,129.721588134766,133.846878051758,0.969179034233093,0,0
36,1159.39583333333,671.493055555556,5,150.326385498047,151.4375,0.992662906646729,0,0
37,1451.34631147541,709.118852459016,6.68237704918033,187.528686523438,150.173461914062,1.24874722957611,1,1
38,1122.25609756098,719.829268292683,5,153.219512939453,152.142852783203,1.0070766210556,0,0
39,1572.44827586207,728.505747126437,5.20114942528736,149.25862121582,144.979064941406,1.02951848506927,0,0
