CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen,isDoublet
1,1693.78271604938,705.86049382716,4.88271604938272,435.464202880859,432.418060302734,1.00704443454742,0,0,0
2,1582.6095890411,884.203767123288,4.76369863013699,449.441772460938,442.631042480469,1.01538693904877,0,0,0
3,1580.59069767442,903.896511627907,4.56279069767442,464.175567626953,469.142852783203,0.989412009716034,0,0,0
4,1546.53597650514,967.461086637298,3.93685756240822,437.870788574219,442.874450683594,0.988701820373535,0,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,423.706359863281,417.071441650391,1.01590836048126,0,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,425.100646972656,423.876647949219,1.00288760662079,0,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,439.682037353516,433.551849365234,1.01413941383362,0,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,427.506805419922,427.857849121094,0.999179542064667,0,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,501.400817871094,438.115051269531,1.14445006847382,0,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,432.768859863281,442.924865722656,0.977070569992065,0,0,0
11,1204.44957983193,1362.03921568627,4.68767507002801,448.878143310547,437.278839111328,1.02652609348297,0,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,426.441619873047,433.741943359375,0.983168959617615,0,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,464.907684326172,444.890594482422,1.04499328136444,0,0,0
14,1572.01515151515,728.424242424242,4,417.151519775391,419.590911865234,0.994186282157898,0,0,0
15,1525.05479452055,747.767123287671,4,428.287658691406,430.742858886719,0.994300067424774,0,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,432.530944824219,429.077789306641,1.00804781913757,0,0,0
17,1272.46478873239,800.647887323944,4,417.577453613281,418.965515136719,0.996686935424805,0,0,0
18,1621.95272727273,824.701818181818,4.48,470.185455322266,457.848266601562,1.02694606781006,0,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,439.591430664062,422.827056884766,1.03964829444885,0,0,0
20,1280.891966759,867.565096952909,5.00831024930748,450.185607910156,435.635925292969,1.03339874744415,0,0,0
21,1293.27751196172,993.66985645933,6.52392344497608,454.159484863281,439.704925537109,1.03287327289581,0,0,0
22,1718.244,1051.864,6.071,432.923004150391,439.480712890625,0.985078513622284,0,0,0
23,1241.83333333333,1086.60416666667,4.47916666666667,421.458343505859,418.117645263672,1.00798988342285,0,0,0
24,1637.08455882353,1108.87867647059,4.54411764705882,455.158081054688,428.056243896484,1.06331372261047,0,0,0
25,1595.31304347826,1109.70434782609,4,434.513031005859,425.51220703125,1.02115297317505,0,0,0
26,1251.64680483592,1135.48100172712,6.04490500863558,475.379089355469,425.650817871094,1.11682879924774,1,1,0
27,1630.74528301887,1167.66037735849,4,475.877349853516,434.078948974609,1.09629213809967,0,0,0
28,1730.23544303797,1172.07594936709,5.08607594936709,429.736694335938,424.165344238281,1.01313483715057,0,0,0
29,1267.35480673935,1208.51040634291,7.13478691774034,449.286407470703,426.876678466797,1.05249691009521,0,0,0
30,1677.24550128535,1225.47172236504,5.40616966580977,421.915161132812,424.564514160156,0.99375981092453,0,0,0
31,1192.7619047619,1309.61904761905,6.45304232804233,463.808197021484,443.95947265625,1.04470837116241,0,0,0
32,1664.81395348837,1423.09302325581,4,455.581390380859,445.205139160156,1.02330672740936,0,0,0
33,1371.85401459854,1456.93430656934,4.39416058394161,462.437957763672,478.34375,0.966748178005219,0,0,0
34,1492.11707317073,1513.3674796748,5.99024390243902,466.450408935547,475.056457519531,0.981884181499481,0,0,0
35,1378.93892045455,1554.29119318182,6.17897727272727,475.356536865234,479.4765625,0.991407215595245,0,0,0
36,1159.39583333333,671.493055555556,5,418.159729003906,417,1.00278115272522,0,0,0
37,1451.34631147541,709.118852459016,6.68237704918033,434.086059570312,422.002563476562,1.02863371372223,0,0,0
38,1122.25609756098,719.829268292683,5,418.560974121094,418.742858886719,0.999565660953522,0,0,0
39,1572.44827586207,728.505747126437,5.20114942528736,430.655181884766,422.837707519531,1.01848816871643,0,0,0
40,1524.96,749.242352941176,6.94352941176471,421.055297851562,424.987365722656,0.990747809410095,0,0,0
41,1272.6626984127,801.218253968254,5.50793650793651,441.948425292969,420,1.05225813388824,0,0,0
42,1404.65510597303,810.969171483622,6.39306358381503,424.244689941406,418.467437744141,1.01380574703217,0,0,0
43,1232.97683397683,819.644787644788,5.94980694980695,438.061767578125,421.242767333984,1.03992712497711,0,0,0
44,948.171075837742,856.834215167548,5.85890652557319,430.96826171875,423.178009033203,1.01840889453888,0,0,1
45,1551.14659685864,850.811518324607,5.90575916230366,461.879577636719,435.221160888672,1.06125259399414,0,0,0
46,1399.05325443787,908.009861932939,7.0138067061144,435.270202636719,428.771881103516,1.01515567302704,0,0,0
47,1677.49425287356,923.67816091954,5,456.839080810547,445.558837890625,1.02531707286835,0,0,0
48,1672.09514563107,953.009708737864,6.53009708737864,489.201934814453,469.845916748047,1.04119646549225,0,0,0
49,1850.85365853659,981.768292682927,5,446.792694091797,436.730773925781,1.02303922176361,0,0,0
50,1216.62256809339,990.68093385214,7.43093385214008,440.455261230469,432.020538330078,1.01952385902405,0,0,0
51,1098.65254237288,1036.60593220339,5.69067796610169,435.13134765625,432.992523193359,1.00493967533112,0,0,0
52,1144.36269430052,1083.9585492228,6.01554404145078,443.370452880859,429.914581298828,1.03129899501801,0,0,0
53,1243.96626984127,1084.82738095238,7.43849206349206,453.277770996094,426.823516845703,1.06197941303253,0,0,0
54,1597.3622754491,1110.23053892216,5.4311377245509,425.694610595703,427.758819580078,0.99517434835434,0,0,0
55,1660.939453125,1132.638671875,6.029296875,457.404296875,435.392303466797,1.05055665969849,0,0,0
56,1631.56843403206,1167.39704069051,6.78914919852035,450.360046386719,436.996429443359,1.03058063983917,0,0,0
57,1601.36956521739,1176.13043478261,5,423.206512451172,425.857147216797,0.99377578496933,0,0,0
58,1334.625,1213.88994565217,6.42663043478261,430.107330322266,424.9453125,1.01214754581451,0,0,0
59,1598.53333333333,1216.56,5,444.760009765625,425.619049072266,1.0449720621109,0,0,0
60,1499.88571428571,1230.89047619048,6.43095238095238,493.388092041016,446.747222900391,1.10440099239349,1,1,0
61,1180.54982206406,1242.92526690391,7.09074733096085,441.777587890625,438.095397949219,1.00840497016907,0,0,0
62,1062.81181619256,1248.02625820569,6.13785557986871,446.310729980469,439.064605712891,1.01650357246399,0,0,0
63,1126.25961538462,1265.48076923077,5.89423076923077,422.682678222656,424.992767333984,0.994564414024353,0,0,0
64,1096.63815789474,1307.625,5,442.651306152344,436.142852783203,1.01492273807526,0,0,0
65,1768.73173173173,1342.48148148148,6.64464464464464,459.517517089844,442.390930175781,1.03871369361877,0,0,0
66,1327.58064516129,1343.32258064516,5,431.827941894531,433.555541992188,0.996015250682831,0,0,0
67,1439.452,1344.896,5.448,459.7919921875,444.795440673828,1.03371560573578,0,0,0
68,1056.44411764706,1349.78823529412,5.52352941176471,464.147064208984,443.255462646484,1.04713213443756,0,0,0
69,1235.2138996139,1381.15366795367,8.25868725868726,480.222381591797,437.168426513672,1.09848368167877,1,1,0
70,1555.24931506849,1387.01643835616,5.83013698630137,482.693145751953,448.552154541016,1.0761137008667,0,0,0
71,1293.71304347826,1403.48260869565,6.47971014492754,442.711608886719,444.713745117188,0.995497941970825,0,0,0
72,1343.8547008547,1418.33333333333,5.44017094017094,441.786315917969,435.447906494141,1.0145560503006,0,0,0
73,1667.18079096045,1423.22316384181,5.48305084745763,457.629943847656,452.147308349609,1.01212573051453,0,0,0
74,1770.03780487805,1426.38170731707,7.04390243902439,491.175598144531,468.375183105469,1.0486798286438,0,0,0
75,1506.78260869565,1443.1884057971,5,441.072448730469,440,1.00243735313416,0,0,0
76,1370.44712430427,1455.21521335807,7.20037105751392,449.131713867188,450.811065673828,0.996274828910828,0,0,0
77,1233.41218637993,1461.43279569892,9.43458781362007,462.381713867188,459.842102050781,1.0055228471756,0,0,0
78,1559.26653102747,1466.49033570702,7.16988809766022,535.25634765625,477.486145019531,1.12098824977875,1,1,0
79,1237.70962732919,1478.2049689441,6.46894409937888,496.01708984375,473.892059326172,1.04668796062469,0,0,0
80,1417.67346938776,1500.63945578231,6.51020408163265,455.115631103516,448.277221679688,1.01525485515594,0,0,0
81,1469.56018518519,1519.05555555556,6.1087962962963,468.395843505859,473.950622558594,0.988279819488525,0,0,0
82,1086.79233226837,646.239616613419,6.5591054313099,431.367401123047,422.831939697266,1.02018642425537,0,0,0
83,1160.55445544554,673.32531824611,6.96746817538897,422.313995361328,417.461364746094,1.0116240978241,0,0,0
84,1228.41501103753,717.721854304636,7.07064017660044,420.525390625,420.271514892578,1.00060403347015,0,0,0
85,1121.5641025641,720.965034965035,7.00699300699301,424.125885009766,420.817077636719,1.00786280632019,0,0,0
86,1572.61627906977,729.709302325581,6.41860465116279,430.372100830078,425.600006103516,1.01121258735657,0,0,0
87,1337.85321100917,750.798165137615,6,418.47705078125,417,1.00354206562042,0,0,0
88,1113.11244377811,776.074962518741,7.02848575712144,431.719635009766,418.317138671875,1.03203904628754,0,0,1
89,1746.48717948718,817.549450549451,6.54578754578755,439.216125488281,430.525726318359,1.02018558979034,0,0,0
90,1621.17491749175,829.945544554455,7.71947194719472,434.651824951172,423.158172607422,1.02716159820557,0,0,0
91,1162.97959183673,834.836734693878,6,421.744903564453,433.352935791016,0.97321343421936,0,0,0
92,1660.67415730337,844.398073836276,7.62279293739968,463.919738769531,441.523712158203,1.05072438716888,0,0,0
93,1431.92608695652,902.317391304348,7.50652173913043,439.241302490234,423.889251708984,1.03621709346771,0,0,0
94,1676.66428571429,928.3,6,478.864288330078,465.850006103516,1.02793657779694,0,0,0
95,1250.53862212944,932.624217118998,6.96659707724426,445.025054931641,434.902557373047,1.02327537536621,0,0,0
