CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen
1,1693.78271604938,705.86049382716,4.88271604938272,464.576538085938,443.876403808594,1.04663491249084,0,0
2,1582.6095890411,884.203767123288,4.76369863013699,424.964050292969,423.266143798828,1.00401139259338,0,0
3,1580.59069767442,903.896511627907,4.56279069767442,423.325592041016,417.139739990234,1.01482915878296,0,0
4,1546.53597650514,967.461086637298,3.93685756240822,429.745971679688,420.125549316406,1.02289891242981,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,497.317474365234,450.761901855469,1.10328197479248,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,460.477630615234,438.041839599609,1.05121839046478,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,447.363189697266,431.543151855469,1.03665924072266,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,448.585845947266,441.686279296875,1.01562094688416,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,440.206481933594,441.610626220703,0.996820390224457,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,457.117340087891,425.3515625,1.07468128204346,1,1
11,1204.44957983193,1362.03921568627,4.68767507002801,447.630249023438,428.121154785156,1.04556906223297,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,441.705596923828,431.161285400391,1.02445566654205,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,428.679992675781,422.202697753906,1.01534163951874,0,0
14,1572.01515151515,728.424242424242,4,467.818176269531,451.909088134766,1.0352041721344,0,0
15,1525.05479452055,747.767123287671,4,488.356170654297,447.628570556641,1.09098529815674,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,442.587036132812,432.057922363281,1.02436971664429,0,0
17,1272.46478873239,800.647887323944,4,480.661956787109,470.413787841797,1.02178537845612,0,0
18,1621.95272727273,824.701818181818,4.48,427.305450439453,424.710357666016,1.0061103105545,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,446.883270263672,440.954895019531,1.01344442367554,0,0
20,1280.891966759,867.565096952909,5.00831024930748,435.831024169922,429.713592529297,1.01423609256744,0,0
21,1293.27751196172,993.66985645933,6.52392344497608,426.110046386719,420.971282958984,1.01220691204071,0,0
22,1718.244,1051.864,6.071,447.380004882812,430.0947265625,1.04018950462341,0,0
23,1241.83333333333,1086.60416666667,4.47916666666667,527.375,485.764709472656,1.08565938472748,0,0
24,1637.08455882353,1108.87867647059,4.54411764705882,516.547790527344,476.506256103516,1.08403146266937,1,1
25,1595.31304347826,1109.70434782609,4,443.608703613281,445.731719970703,0.995236992835999,0,0
26,1251.64680483592,1135.48100172712,6.04490500863558,505.304840087891,447.847503662109,1.12829661369324,1,1
27,1630.74528301887,1167.66037735849,4,426.679260253906,430.368408203125,0.991427958011627,0,0
28,1730.23544303797,1172.07594936709,5.08607594936709,467.680999755859,444.307098388672,1.05260753631592,0,0
29,1267.35480673935,1208.51040634291,7.13478691774034,437.648162841797,433.82080078125,1.00882244110107,0,0
30,1677.24550128535,1225.47172236504,5.40616966580977,496.218505859375,451.256286621094,1.0996378660202,0,0
31,1192.7619047619,1309.61904761905,6.45304232804233,453.124328613281,421.260131835938,1.0756402015686,0,0
32,1664.81395348837,1423.09302325581,4,433.209289550781,435.076934814453,0.995707333087921,0,0
33,1371.85401459854,1456.93430656934,4.39416058394161,422.306579589844,418.3125,1.00954806804657,0,0
34,1492.11707317073,1513.3674796748,5.99024390243902,432.250396728516,420.298828125,1.02843582630157,0,0
35,1378.93892045455,1554.29119318182,6.17897727272727,420.884948730469,420.178131103516,1.00168216228485,0,0
36,1159.39583333333,671.493055555556,5,519.618041992188,480.270843505859,1.08192706108093,0,0
37,1451.34631147541,709.118852459016,6.68237704918033,438.852447509766,445.188781738281,0.985767066478729,0,0
38,1122.25609756098,719.829268292683,5,489,454.114288330078,1.07682144641876,0,0
39,1572.44827586207,728.505747126437,5.20114942528736,461.867828369141,456.670166015625,1.01138162612915,0,0
40,1524.96,749.242352941176,6.94352941176471,511.476470947266,439.679290771484,1.16329443454742,1,1
41,1272.6626984127,801.218253968254,5.50793650793651,454.670623779297,460.1875,0.988011658191681,0,0
42,1404.65510597303,810.969171483622,6.39306358381503,451.551055908203,463.517242431641,0.974183917045593,0,0
43,1232.97683397683,819.644787644788,5.94980694980695,443.139007568359,445.150299072266,0.995481789112091,0,0
44,948.171075837742,856.834215167548,5.85890652557319,441.550262451172,443.691101074219,0.995174944400787,0,0
45,1551.14659685864,850.811518324607,5.90575916230366,427.816741943359,427.394226074219,1.00098860263824,0,0
46,1399.05325443787,908.009861932939,7.0138067061144,436.337280273438,429.906829833984,1.01495778560638,0,0
47,1677.49425287356,923.67816091954,5,430.528747558594,420.794128417969,1.02313387393951,0,0
48,1672.09514563107,953.009708737864,6.53009708737864,415.374755859375,418.555236816406,0.992401301860809,0,0
49,1850.85365853659,981.768292682927,5,478.414642333984,452.038452148438,1.05834949016571,0,0
50,1216.62256809339,990.68093385214,7.43093385214008,438.662445068359,425.592437744141,1.03071010112762,0,0
51,1098.65254237288,1036.60593220339,5.69067796610169,463.834747314453,439.347015380859,1.05573666095734,0,0
52,1144.36269430052,1083.9585492228,6.01554404145078,452.945587158203,436.768829345703,1.03703737258911,0,0
53,1243.96626984127,1084.82738095238,7.43849206349206,495.555541992188,449.974365234375,1.10129725933075,1,1
54,1597.3622754491,1110.23053892216,5.4311377245509,454.649688720703,440.964691162109,1.03103423118591,0,0
55,1660.939453125,1132.638671875,6.029296875,444.759765625,428.784606933594,1.03725683689117,0,0
56,1631.56843403206,1167.39704069051,6.78914919852035,440.187408447266,429.413238525391,1.02509045600891,0,0
57,1601.36956521739,1176.13043478261,5,446.206512451172,446.071441650391,1.00030279159546,0,0
58,1334.625,1213.88994565217,6.42663043478261,468.725555419922,441.977081298828,1.06052005290985,0,0
59,1598.53333333333,1216.56,5,462.559997558594,497.666656494141,0.929457485675812,0,0
