CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen
1,1693.78271604938,705.86049382716,4.88271604938272,356.111114501953,185.100006103516,1.92388498783112,1,1
2,1582.6095890411,884.203767123288,4.76369863013699,148.301376342773,140.991928100586,1.05184304714203,0,0
3,1580.59069767442,903.896511627907,4.56279069767442,139.810470581055,134.260681152344,1.04133594036102,0,0
4,1546.53597650514,967.461086637298,3.93685756240822,128.967697143555,129.112258911133,0.998880326747894,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,126.253967285156,102.404762268066,1.23289155960083,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,157.442489624023,142.180618286133,1.10734140872955,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,149.728149414062,142.509292602539,1.05065536499023,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,165.580383300781,149.245101928711,1.10945272445679,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,156.943313598633,146.194686889648,1.07352268695831,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,163.94807434082,142.992584228516,1.14654946327209,0,0
11,1204.44957983193,1362.03921568627,4.68767507002801,147.623245239258,136.703842163086,1.07987630367279,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,128.715728759766,129.213714599609,0.996146023273468,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,242.26692199707,293.108520507812,0.82654345035553,0,0
14,1572.01515151515,728.424242424242,4,181.484848022461,191.045455932617,0.949956357479095,0,0
15,1525.05479452055,747.767123287671,4,238.904113769531,212.085708618164,1.12645077705383,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,230.018707275391,182.872802734375,1.25780713558197,1,1
17,1272.46478873239,800.647887323944,4,192.323944091797,198.551727294922,0.968633949756622,0,0
18,1621.95272727273,824.701818181818,4.48,184.2763671875,175.834487915039,1.04801034927368,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,228.964981079102,186.127822875977,1.23014914989471,0,0
20,1280.891966759,867.565096952909,5.00831024930748,180.385040283203,171.912628173828,1.0492832660675,0,0
21,1293.27751196172,993.66985645933,6.52392344497608,143.356460571289,140.623428344727,1.01943516731262,0,0
22,1718.244,1051.864,6.071,152.886993408203,143.168426513672,1.06788206100464,0,0
23,1241.83333333333,1086.60416666667,4.47916666666667,162.0625,157.323532104492,1.03012239933014,0,0
24,1637.08455882353,1108.87867647059,4.54411764705882,172.73161315918,166.443756103516,1.03777766227722,0,0
25,1595.31304347826,1109.70434782609,4,183.356521606445,144.365859985352,1.2700822353363,0,0
26,1251.64680483592,1135.48100172712,6.04490500863558,180.493087768555,156.776794433594,1.15127420425415,0,0
