CellID,Center_X,Center_Y,Center_Z,MeanROIIntensity,MeanNeighborhoodIntensity,MetricValue,UserLabel,roiSeen,isDoublet
1,1693.78271604938,705.86049382716,4.88271604938272,27.0913581848145,30.6430549621582,0.884094536304474,0,0,0
2,1582.6095890411,884.203767123288,4.76369863013699,34.1027412414551,33.1552429199219,1.02857768535614,0,0,0
3,1580.59069767442,903.896511627907,4.56279069767442,37.609302520752,30.4838371276855,1.23374569416046,0,0,0
4,1546.53597650514,967.461086637298,3.93685756240822,30.5638771057129,34.2008857727051,0.893657445907593,0,0,0
5,1850.92857142857,982.611111111111,3.06349206349206,39.7301597595215,30.9761905670166,1.28260314464569,0,0,0
6,1745.52076677316,1016.12619808307,4.99680511182109,33.1517562866211,30.8171806335449,1.07575559616089,0,0,0
7,1204.28414580588,1058.93675889328,7.90162494510321,31.2226619720459,26.9702606201172,1.15767002105713,0,0,0
8,1667.55585831063,1144.55858310627,4.02724795640327,28.2861042022705,25.2401962280273,1.12067687511444,0,0,0
9,1498.14979757085,1233.43724696356,3.50202429149798,52.4291496276855,34.6814155578613,1.51173615455627,0,0,0
10,1650.10028449502,1338.05903271693,5.68990042674253,47.5021324157715,38.668830871582,1.2284346818924,0,0,0
11,1204.44957983193,1362.03921568627,4.68767507002801,47.8711471557617,44.4769248962402,1.07631421089172,0,0,0
12,1293.04568527919,1403.94923857868,3.76142131979695,43.8730964660645,42.7580642700195,1.02607774734497,0,0,0
13,1181.66384615385,1419.91384615385,6.60846153846154,38.498462677002,38.3650207519531,1.00347816944122,0,0,0
14,1572.01515151515,728.424242424242,4,44.8787879943848,33.3863639831543,1.34422504901886,0,0,0
15,1525.05479452055,747.767123287671,4,41.904109954834,33.8571434020996,1.23767411708832,0,0,0
16,1720.73741007194,767.655395683453,7.77697841726619,27.0784168243408,23.0221462249756,1.17618989944458,0,0,0
17,1272.46478873239,800.647887323944,4,34.3661956787109,25.7241382598877,1.33595132827759,0,0,0
18,1621.95272727273,824.701818181818,4.48,39.9018173217773,29.1724128723145,1.36779284477234,0,0,0
19,1449.47470817121,845.326848249027,5.06225680933852,39.1517524719238,33.2556381225586,1.17729663848877,0,0,0
20,1280.891966759,867.565096952909,5.00831024930748,41.4072036743164,27.5679607391357,1.50200462341309,0,0,0
21,1293.27751196172,993.66985645933,6.52392344497608,27.8508777618408,26.3650970458984,1.05635404586792,0,0,0
22,1718.244,1051.864,6.071,35.5950012207031,25.7947368621826,1.37993276119232,0,0,0
